Name,Year,Rating
The Matrix,1999,5.0
Spirited Away,2001,5.0
Parasite,2019,5.0
Inception,2010,4.5
Mad Max: Fury Road,2015,4.5
Get Out,2017,4.5
Blade Runner 2049,2017,5.0
Arrival,2016,4.5
Ex Machina,2014,4.5
Her,2013,4.5
The Social Network,2010,4.0
Whiplash,2014,4.5
There Will Be Blood,2007,5.0
No Country for Old Men,2007,4.5
The Dark Knight,2008,4.5
Interstellar,2014,4.0
Children of Men,2006,5.0
Moon,2009,4.0
District 9,2009,4.0
Snowpiercer,2013,3.5
The Handmaiden,2016,4.5
Oldboy,2003,4.5
Memories of Murder,2003,5.0
Decision to Leave,2022,4.0
Burning,2018,4.5
Portrait of a Lady on Fire,2019,4.5
The Favourite,2018,4.0
Phantom Thread,2017,4.0
Lady Bird,2017,4.0
The Grand Budapest Hotel,2014,4.0
Moonrise Kingdom,2012,3.5
Punch-Drunk Love,2002,4.0
Eternal Sunshine of the Spotless Mind,2004,5.0
Adaptation.,2002,4.0
Being John Malkovich,1999,4.0
Mulholland Drive,2001,4.5
Lost in Translation,2003,4.0
Amélie,2001,3.5
Pan's Labyrinth,2006,4.5
The Shape of Water,2017,3.0
"Crouching Tiger, Hidden Dragon",2000,4.5
Hero,2002,4.0
Your Name.,2016,4.5
Perfect Blue,1997,4.5
Ghost in the Shell,1995,4.5
Akira,1988,4.5
Princess Mononoke,1997,5.0
My Neighbor Totoro,1988,4.0
Grave of the Fireflies,1988,4.5
The Iron Giant,1999,4.0
Spider-Man: Into the Spider-Verse,2018,4.5
The Incredibles,2004,4.0
Toy Story,1995,3.5
WALL·E,2008,4.5
Paddington 2,2017,4.0
Shaun of the Dead,2004,4.0
Hot Fuzz,2007,4.0
The World's End,2013,3.5
Aliens,1986,4.5
Terminator 2: Judgment Day,1991,4.5
Jurassic Park,1993,4.0
Raiders of the Lost Ark,1981,4.5
Jaws,1975,4.5
Alien,1979,5.0
The Thing,1982,5.0
Halloween,1978,3.5
The Silence of the Lambs,1991,4.5
Se7en,1995,4.5
Fight Club,1999,4.0
The Usual Suspects,1995,3.5
Heat,1995,4.5
Goodfellas,1990,4.5
The Godfather,1972,5.0
Chinatown,1974,5.0
2001: A Space Odyssey,1968,5.0
Blade Runner,1982,5.0
Stalker,1979,4.5
Solaris,1972,4.0
Apocalypse Now,1979,5.0
Taxi Driver,1976,4.5
Raging Bull,1980,4.0
Psycho,1960,4.5
Vertigo,1958,4.5
Rear Window,1954,4.5
12 Angry Men,1957,4.5
Seven Samurai,1954,5.0
Persona,1966,4.0
The 400 Blows,1959,4.0
Tokyo Story,1953,4.5
Rashomon,1950,4.5
Citizen Kane,1941,4.0
Casablanca,1942,4.0
The Apartment,1960,4.5
Some Like It Hot,1959,4.0
Dune,2021,4.0
Dune: Part Two,2024,4.5
Everything Everywhere All at Once,2022,4.5
The Batman,2022,3.5
Oppenheimer,2023,4.0
Poor Things,2023,3.5
Past Lives,2023,4.0
Aftersun,2022,4.5
The Zone of Interest,2023,4.0
Anatomy of a Fall,2023,4.0
Barbie,2023,3.0
The Super Mario Bros. Movie,2023,2.0
Morbius,2022,1.0
Cats,2019,0.5
The Room,2003,0.5
Movie 43,2013,0.5
Disaster Movie,2008,0.5
Ghosts of Mars,2001,1.5
The Last Airbender,2010,1.0
Fantastic Four,2015,1.5
Justice League,2017,2.0
Suicide Squad,2016,1.5
Transformers: Revenge of the Fallen,2009,1.5
The Emoji Movie,2017,0.5
Jack and Jill,2011,1.0
Grown Ups 2,2013,1.5
Fifty Shades of Grey,2015,1.0
The Twilight Saga: New Moon,2009,2.0
Venom: Let There Be Carnage,2021,2.0
Madame Web,2024,1.0
Argylle,2024,2.0
Borderlands,2024,1.0
The Marvels,2023,2.5
Ant-Man and the Wasp: Quantumania,2023,2.0
Thor: Love and Thunder,2022,2.5
Jurassic World Dominion,2022,2.0
The Matrix Resurrections,2021,2.5
Space Jam: A New Legacy,2021,1.5
Dolittle,2020,1.5
Green Lantern,2011,1.5
Batman & Robin,1997,1.0
